Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
14.76953442	-5.949111938	-71.54481506	-402.9945679	409.3393143
14.77944342	-5.859100342	-71.63626099	-401.8336792	408.211206
14.78935142	-5.380157471	-71.82450867	-403.1223755	409.5062341
14.79925842	-6.209182739	-71.64212036	-402.5360107	408.9087763
14.80916342	-5.352859497	-71.77406311	-402.2647705	408.6528048
14.81906942	-6.136138916	-71.83145142	-402.9134216	409.3123929
14.82897442	-5.485610962	-71.62547302	-402.2730103	408.6366052
14.83887942	-5.815307617	-71.63357544	-402.7140503	409.0767571
14.84878542	-6.045669556	-71.6658783	-402.3654785	408.7426165
14.85869042	-5.594116211	-71.70463562	-402.2952881	408.6738892
14.86859542	-6.163696289	-71.37805176	-403.1821899	409.4981022
14.87850342	-5.606246948	-71.69143677	-401.7264099	408.1117501
14.88841242	-5.807601929	-71.54966736	-403.1097717	409.4515493
14.89832142	-6.489105225	-71.41868591	-402.4279785	408.7676786
14.90823142	-5.665054321	-71.7900238	-402.3936157	408.7866465
14.91814042	-6.210266113	-71.64291382	-402.9066162	409.2737664
14.92804842	-5.713302612	-71.34248352	-401.8788147	408.2021233
14.93795642	-5.885559082	-71.43377686	-402.6057129	408.9361617
14.94786542	-6.200149536	-71.728302	-402.0375366	408.4330692
14.95777542	-5.423492432	-71.28965759	-401.8356628	408.1464559
14.96768242	-6.112915039	-71.42478943	-401.8690186	408.2126607
14.97758942	-5.795669556	-71.47506714	-401.7110596	408.0613317
14.98749842	-5.744369507	-71.6491394	-402.7347717	409.0988796
14.99740742	-6.026092529	-71.32270813	-402.2427368	408.5614541
15.00731642	-5.636413574	-71.58992004	-402.1818848	408.5427202
15.01722442	-6.088272095	-71.81692505	-402.5607605	408.9619832
15.02713242	-5.602706909	-71.71073914	-401.8689575	408.2554096
15.03704142	-5.828979492	-71.74862671	-402.5903015	408.9752967
15.04694942	-5.621017456	-71.54438782	-401.8744812	408.2319119
15.05685742	-5.516403198	-71.62503052	-402.1537476	408.5195373
15.06676542	-6.123001099	-71.62245178	-402.4065552	408.7765923
15.07667342	-5.351760864	-71.54124451	-401.6159973	407.9732838
15.08658142	-5.945053101	-71.66978455	-402.713562	409.0844836
15.09649042	-5.613861084	-71.36700439	-402.0748901	408.3980681
15.10639942	-5.490097046	-71.79216003	-402.1845398	408.5788289
15.11630942	-5.933319092	-71.87654114	-401.7738037	408.1955791
15.12621942	-5.535995483	-71.49946594	-401.3422852	407.6989707
15.13612742	-5.79335022	-71.56690979	-402.5444336	408.8977947
15.14603642	-5.657775879	-71.66630554	-402.102478	408.4782401
15.15594442	-5.82975769	-71.4826355	-402.3616333	408.7036056
15.16585342	-5.94934082	-71.24963379	-402.3404541	408.6437886
15.17576142	-5.481033325	-71.20033264	-402.3490601	408.6371192
15.18566942	-6.200027466	-71.42372131	-403.1232605	409.4485944
15.19557842	-5.885864258	-71.53703308	-401.7935791	408.1547142
15.20548642	-5.688659668	-71.26043701	-402.3957825	408.6964356
15.21539542	-6.015335083	-71.56016541	-401.9791565	408.3433406
15.22530342	-5.374557495	-71.71766663	-401.7543335	408.1407283
15.23521242	-5.969711304	-71.7028656	-402.4547119	408.8358271
15.24512142	-5.788986206	-71.5262146	-401.6214905	407.9820258
15.25502942	-5.922439575	-71.87065125	-402.807373	409.2117369
15.26493842	-6.094192505	-71.45831299	-401.7928467	408.1432608
15.27484742	-5.66633606	-71.52896118	-402.1700745	408.5208299
15.28475629	-6.161254883	-71.44261169	-402.6907959	409.0255309
15.29466529	-5.399490356	-71.78771973	-401.5252686	407.9279011
15.30457329	-5.671707153	-71.45709229	-402.2965088	408.6328001
15.31448329	-5.698806763	-71.45429993	-401.4590759	407.8082675
15.32439129	-5.049636841	-71.74586487	-401.2698364	407.6646288
15.33429929	-5.877365112	-71.69445801	-402.4493103	408.8276973
15.34420829	-5.406280518	-71.65246582	-401.6791382	408.0556749
15.35411629	-5.583328247	-71.64161682	-402.7321777	409.092779
15.36402529	-5.93081665	-71.49191284	-402.4317932	408.7757532
15.37393329	-5.485168457	-71.38652039	-402.145752	408.4694948
15.38384029	-6.285644531	-71.54206848	-402.6504211	409.0050593
15.39374829	-5.283111572	-71.32655334	-402.3157959	408.6237733
15.40365729	-6.014648438	-71.63400269	-402.392334	408.7630081
15.41356429	-5.936569214	-71.34762573	-401.6487427	407.9797042
15.42347329	-5.426300049	-71.78143311	-402.6858521	409.0695715
15.43338229	-6.285064697	-71.40837097	-402.2103271	408.5484118
15.44329029	-5.533676147	-71.47558594	-401.5870361	407.9356917
15.45319829	-6.171203613	-71.58961487	-402.24646	408.6139636
15.46310629	-5.964981079	-71.45588684	-401.8327637	408.1802233
15.47301529	-5.391860962	-71.47480774	-402.5931396	408.924145
15.48292429	-5.977172852	-71.38296509	-402.1503601	408.4803134
15.49283329	-5.773330688	-71.44935608	-401.9562988	408.2979402
15.50274229	-5.56036377	-71.59362793	-402.3596802	408.7173564
15.51265229	-5.309692383	-71.60772705	-401.802948	408.1684314
15.52256129	-5.543365479	-71.6619873	-402.4886475	408.8560635
15.53247129	-6.009506226	-71.67224121	-402.1716919	408.5524374
15.54238029	-5.521881104	-71.5375824	-401.6233521	407.9821488
15.55229129	-6.001815796	-71.78269958	-402.5383606	408.9326467
15.56220029	-5.767532349	-71.71600342	-401.8164673	408.2069609
15.57210929	-5.767547607	-71.80735779	-402.7009277	409.0936304
15.58201829	-5.927352905	-71.47463989	-402.1546631	408.499854
15.59192729	-5.267456055	-71.3923645	-401.8200073	408.1469516
15.60183629	-5.971893311	-71.31564331	-402.2039795	408.521267
15.61174529	-5.711593628	-71.60142517	-401.4289551	407.8046007
15.62165429	-5.327774048	-71.52668762	-402.6776123	409.0155396
15.63156329	-5.859710693	-71.72323608	-402.3237915	408.7089331
15.64147229	-5.015777588	-71.55116272	-401.9904785	408.3394075
15.65138129	-5.838516235	-71.52626038	-403.1400757	409.4777342
15.66129029	-5.512130737	-71.29678345	-402.1191406	408.4279841
15.67119829	-5.527282715	-71.62580872	-402.5006104	408.8612829
15.68110629	-5.850387573	-71.63412476	-402.4058228	408.7739241
15.69101529	-5.349029541	-71.46868896	-401.6017456	407.946501
15.70092429	-5.952713013	-71.73638916	-402.4024048	408.7899702
15.71083229	-5.379135132	-71.51023865	-401.492157	407.8462963
15.72074229	-5.737411499	-71.85531616	-402.2858276	408.6930284
15.73065129	-5.553756714	-71.52119446	-401.9331665	408.2846995
