Time (s)	Magnetic Field x (uT)	Magnetic Field y (uT)	Magnetic Field z (uT)	Absolute field (uT)
2.655142542	-2.903625488	-83.57725525	-391.6386719	400.4677739
2.665049542	10.38516235	-82.02346802	-391.4264832	400.0629858
2.674958542	4.733825684	-79.78677368	-394.4436646	402.4601134
2.684866542	3.681915283	-83.70088196	-388.5601196	397.4900762
2.694773542	10.34054565	-79.7265625	-395.4588623	403.5479692
2.704681542	-2.783920288	-83.22357178	-392.7003784	401.4318128
2.714590542	12.25238037	-80.55989075	-391.0505981	399.4503563
2.724499542	3.134231567	-80.65789795	-394.2589111	402.4370869
2.734409042	4.608657837	-83.04321289	-388.9517212	397.7447125
2.744317042	9.496688843	-79.44807434	-396.4306946	404.4248746
2.754226042	-1.514785767	-82.79995728	-391.3525391	400.0186712
2.764136042	12.09408569	-79.64891052	-391.6211548	399.8216411
2.774045042	2.887252808	-81.12023926	-394.4819641	402.7466318
2.783954042	4.777359009	-82.9548645	-389.3457947	398.1136528
2.793863042	8.466415405	-79.43400574	-397.2667542	405.2188488
2.803771042	-0.883682251	-83.770401	-390.3040161	399.1935445
2.813681042	13.64225769	-78.92102051	-392.1201172	400.2159729
2.823589042	1.273010254	-82.00622559	-394.0643616	402.5088355
2.833498042	5.721389771	-82.85958862	-390.2288513	398.9699263
2.843407042	7.08543396	-79.53968811	-396.8672791	404.8214453
2.853316042	0.830200195	-84.01100159	-389.9633789	398.9109857
2.863225042	12.82090759	-78.92274475	-392.3864746	400.4501477
2.873135042	-0.345245361	-82.1098938	-395.1426392	403.5837697
2.883042042	7.003585815	-83.05456543	-389.65979	398.4744195
2.892950042	6.499252319	-79.17654419	-397.0389404	404.9087374
2.902858042	1.60333252	-84.3052063	-388.7903748	397.8289758
2.912767042	12.12098694	-79.20498657	-394.3601379	402.4180247
2.922675042	-2.543624878	-83.06216431	-392.4584351	401.1600883
2.932584042	8.396820068	-82.54005432	-391.4900513	400.1847416
2.942492042	5.591949463	-79.5480957	-395.2891235	403.2526015
2.952398042	2.453903198	-84.12117004	-388.5235901	397.5336123
2.962307042	11.40942383	-79.29414368	-394.1070557	402.1667658
2.972215042	-3.242431641	-82.80430603	-394.0447083	402.6640021
2.982123042	9.966567993	-81.53829956	-390.6543579	399.1975127
2.992033042	4.690139771	-80.31733704	-395.5142212	403.6141365
3.001942042	3.541351318	-83.01014709	-388.3143616	397.1035999
3.011850042	10.94969177	-79.71168518	-396.1214294	404.210385
3.021759042	-2.787887573	-82.62635803	-391.8571167	400.4833171
3.031667042	10.80709839	-81.19546509	-391.3391724	399.8197653
3.041574042	4.713180542	-80.33528137	-394.9454956	403.0606853
3.051482042	4.102920532	-83.40585327	-388.7678833	397.635307
3.061390042	10.17056274	-79.91532898	-396.1878662	404.2953444
3.071299042	-2.517486572	-83.54229736	-392.3804321	401.1833206
3.081209042	12.90014648	-79.89317322	-391.7589111	400.0304705
3.091117042	3.171142578	-80.9730835	-394.2585754	402.5003363
3.101025042	5.141372681	-82.89428711	-389.0742188	397.8399732
3.110934042	8.707199097	-79.64785767	-396.3943481	404.4107761
3.120843042	-0.488983154	-83.95680237	-390.9767456	399.889734
3.130751042	12.77305603	-79.34631348	-391.9581909	400.1127489
3.140661042	2.444061279	-81.50082397	-395.4626465	403.7809586
3.150570042	5.973373413	-83.07273865	-389.4994812	398.304666
3.160479042	8.048706055	-79.35699463	-397.3355713	405.2627178
3.170388042	0.298538208	-84.86186218	-389.923584	399.0514079
3.180296042	13.38648987	-79.31697083	-393.6052246	401.7405292
3.190204042	0.202713013	-82.37835693	-393.1144104	401.6530523
3.200108042	6.782669067	-83.36935425	-390.8649292	399.7147066
3.210013042	6.784759521	-79.50953674	-396.3584595	404.3115479
3.219917042	1.24156189	-84.06921387	-389.9700928	398.9308805
3.229821042	12.63902283	-79.39282227	-392.8289185	400.9707275
3.239725042	-1.763824463	-82.28417969	-394.9770508	403.460863
3.249630042	8.146331787	-82.95860291	-390.3209229	399.1226821
3.259537042	6.223831177	-79.94836426	-396.1716309	404.2059353
3.269445042	2.747894287	-83.90325928	-388.2129211	397.1858255
3.279355042	12.20761108	-79.60494995	-394.7272949	402.8592945
3.289264042	-3.003265381	-82.63876343	-392.3912659	401.0100876
3.299174042	8.7396698	-82.36242676	-391.1741638	399.8464425
3.309083042	6.01373291	-79.68048096	-395.071228	403.0712335
3.318992042	2.547653198	-83.28302002	-388.7138062	397.5436769
3.328900042	11.64779663	-79.39613342	-394.8844604	402.9555239
3.338806042	-3.537322998	-83.36868286	-393.4753723	402.2259546
3.348712042	10.66229248	-80.81269836	-390.8979187	399.306348
3.358620042	4.426467896	-80.59458923	-394.495575	402.6683997
3.368529042	3.80645752	-83.39851379	-388.2832947	397.1570447
3.378438042	10.24674988	-79.92866516	-395.6672363	403.789734
3.388348042	-1.739471436	-83.83799744	-391.9590454	400.8288024
3.398259042	11.05528259	-80.33241272	-391.7847595	400.0885072
3.408169042	4.345367432	-80.76039124	-394.940979	403.1370733
3.418079042	4.299316406	-83.55006409	-388.6213379	397.5243912
3.427989042	9.704330444	-79.20527649	-396.3890076	404.3413102
3.437898042	-1.322616577	-84.40249634	-391.4303589	400.4288408
3.447807042	13.06219482	-79.38139343	-391.8380737	400.0113781
3.457716042	2.519851685	-81.39897156	-393.7185059	402.0527379
3.467625042	5.464782715	-83.27677917	-388.8016052	397.657609
3.477534042	8.013427734	-79.57673645	-395.5172424	403.5226897
3.487445042	-0.111221313	-84.42286682	-390.7919006	399.8068814
3.497355042	13.11042786	-79.4571991	-391.6683655	399.861774
3.507264042	0.78314209	-81.16427612	-394.9003906	403.1557659
3.517174042	6.286560059	-83.32507324	-389.1043701	397.9758781
3.527084042	6.953659058	-79.36711121	-396.6807861	404.6024441
3.536993042	0.820220947	-83.99891663	-388.9908752	397.9577764
3.546902042	12.90690613	-79.29985046	-393.6486816	401.7640341
3.556811042	-0.886978149	-82.06985474	-392.869751	401.3513287
3.566721042	6.94090271	-83.22277832	-390.3900146	399.2224574
3.576631042	6.537094116	-79.5851593	-396.0712585	404.0408061
3.586541042	1.037521362	-84.03068542	-389.2179871	398.1869837
3.596451042	12.79415894	-79.83940125	-392.7167358	400.9544302
3.606360042	-2.546386719	-82.44300842	-394.2545166	402.7902154
3.616269042	8.628463745	-82.06222534	-390.9307251	399.544104
3.626177042	5.489074707	-79.92112732	-395.914978	403.9383448
3.636088042	2.476043701	-83.41064453	-388.2341919	397.1010629
3.645997042	11.85934448	-79.78501892	-394.7785034	402.9346846
3.655907042	-2.445755005	-83.00982666	-392.2864075	400.9803468
3.665817042	8.969787598	-81.6486969	-390.2494507	398.8002013
3.675726042	5.809524536	-80.10684204	-395.156189	403.2359984
3.685636042	3.14781189	-83.22421265	-388.1049194	396.9403063
3.695545042	11.17919922	-79.32348633	-395.4014587	403.4346336
3.705455042	-2.973419189	-84.4092865	-392.587677	401.5704832
3.715364042	11.41566467	-80.38215637	-390.783905	399.128637
3.725273042	4.596893311	-80.68823242	-394.6194458	402.8104136
3.735180792	4.06829834	-83.18334961	-388.3666382	397.196005
3.745090792	9.530212402	-79.51626587	-395.432251	403.4604399
3.754999792	-1.087387085	-84.41983032	-391.5005493	400.5003998
3.764907792	12.11375427	-80.29469299	-390.373291	398.7295915
3.774816792	3.394577026	-80.4243927	-395.070282	403.1874673
3.784724792	5.032180786	-83.70533752	-388.7791748	397.7199431
3.794633792	8.883850098	-78.88757324	-395.9176025	403.7981179
3.804544792	-0.707168579	-84.15518188	-390.3869019	399.35514
3.814454792	13.3243103	-79.65000916	-392.2745972	400.5009623
3.824363792	1.702224731	-81.09338379	-392.9453735	401.2294868
3.834274792	5.820144653	-83.52554321	-389.6417236	398.5361505
3.844185792	7.786560059	-79.25360107	-396.8121643	404.7241746
3.854095792	-0.082748413	-84.27342224	-390.6964111	399.6820014
3.864005792	13.5057373	-79.97399902	-391.6753845	399.9848151
3.873915792	0.003997803	-81.39299011	-394.5071411	402.815967
3.883826792	7.048583984	-83.30529785	-389.557373	398.4274113
3.893735792	6.664123535	-79.72154236	-396.3929749	404.3851201
3.903645792	0.89642334	-83.59780884	-388.6067505	397.4979292
3.913555792	12.7718811	-79.81236267	-393.6396484	401.8523448
3.923465792	-1.037139893	-81.94132996	-393.3198853	401.7660879
3.933374792	7.188461304	-82.86688232	-390.4862366	399.24691
3.943283792	6.72492981	-79.89503479	-396.0944214	404.1277421
3.953192792	1.765029907	-83.45109558	-388.6875	397.5489572
3.963101792	12.57243347	-79.50276184	-393.5610657	401.7076893
3.973010792	-2.997360229	-83.26281738	-393.8029785	402.5201446
3.982919792	8.916732788	-81.50611877	-390.6763611	399.1876434
3.992827792	5.470855713	-80.30905151	-395.2619019	403.3750675
4.002737792	3.024749756	-83.25752258	-388.0773315	396.9193614
4.012647792	11.16841125	-79.71437073	-394.2442017	402.3774408
4.022556792	-1.782775879	-83.85371399	-393.2843628	402.1283547
4.032465792	9.850585938	-80.69204712	-390.9903259	399.3515688
4.042375792	4.909255981	-80.16365051	-395.0873413	403.1678545
4.052284792	3.599227905	-83.59614563	-387.5201111	396.4506356
4.062192792	10.3477478	-78.66142273	-395.4360046	403.316661
4.072101792	-2.561264038	-84.51411438	-391.8424072	400.8611576
4.082010792	11.54968262	-79.97993469	-391.7862854	400.0333468
4.091919792	3.768157959	-80.33493042	-393.8895264	402.0159935
4.101828792	4.623901367	-83.67123413	-388.3587341	397.2968188
4.111737792	9.288223267	-79.21961975	-395.2843628	403.2514683
4.121646792	-1.210357666	-84.11000061	-391.447876	400.3840616
4.131555792	13.34210205	-80.26577759	-390.4811707	398.8685891
4.141464792	2.372406006	-80.23600769	-395.0080566	403.0816419
4.151373792	5.231323242	-83.59429932	-389.0620117	397.9756558
4.161282792	8.018173218	-79.12335205	-396.291687	404.1928959
4.171191792	-0.551361084	-83.94088745	-389.048645	398.0015387
4.181100792	13.53514099	-80.20201111	-392.8009644	401.133594
4.191008792	1.145004272	-81.13497925	-393.2686157	401.5524872
4.200918792	5.531463623	-83.21121216	-389.6177673	398.4428535
4.210827792	7.600845337	-79.51295471	-396.0497437	404.024111
4.220736792	0.075897217	-83.7976532	-389.954071	398.856152
4.230646792	13.84713745	-80.12944031	-392.8049011	401.1335947
4.240556792	-0.889755249	-82.14889526	-394.3125	402.7798162
4.250466792	6.744247437	-82.24620056	-390.1513062	398.783104
4.260376792	6.141815186	-79.93598938	-396.3094788	404.3373434
4.270285792	0.764221191	-83.06896973	-388.7525024	397.529302
4.280194792	12.66712952	-79.79882813	-393.5120239	401.7213239
4.290103792	-1.034393311	-82.75616455	-393.5617676	402.1697622
4.300013792	7.331939697	-81.88978577	-390.6864014	399.2437333
